PROJECT_ID,COMMIT_HASH,LINES_ADDED,LINES_REMOVED,num_commit,lines_added_last_commits,lines_removed_last_commits
org.apache:archiva,24acf2fa0e4fd7316944cc8bae44c5182cc5fa2f,1,1,1290,0,0
org.apache:archiva,e6fc266d61e3ff72401408bbd91125b097415d19,39,7,1376,1,1
org.apache:archiva,d00a9c7e1ba92236411fec5a2d173b344405f848,14,24,1489,40,8
org.apache:archiva,5920685d00fa92bceca8df956bc0235a11bc47bb,73,7,2022,54,32
org.apache:archiva,e7adc83cf0ca025c7cfc399dee7da93c04983656,20,9,2302,127,39
org.apache:archiva,2fb9f499836e7387c2a3bae4041874b9c43431cc,200,14,2439,147,48
org.apache:archiva,47b437abc9a13ce91d2ea0a0c15fe463938dfc88,8,3,2523,346,61
org.apache:archiva,57d991e0ac0e7ee0156947156f80aedd7d4417f1,9,9,2554,315,57
org.apache:archiva,91cf97a170547f6717d04f8cd9063eebfb6efbac,1,1,2717,310,42
org.apache:archiva,b28cc66a36f6a690b4deea45230e8a15da6acd4b,65,4,2799,238,36
org.apache:archiva,498d33c645a03a5132d73ae8cf61c3998f550277,86,4,2902,283,31
org.apache:archiva,a658609b5c62b4f70d32fcdf64cc187e8b390ede,105,6,2922,169,21
org.apache:archiva,560d3e0ebca9170c4756a6f8a02c926369f8f93a,28,27,2944,266,24
org.apache:archiva,05d0e9e6f599c0a2a16cad2b2b37e63e391de0d0,27,2,2990,285,42
org.apache:archiva,cad485de242900f1ed7aa5d48b0ee3dafc173c7f,107,80,3001,311,43
org.apache:archiva,74d0a6376f0fc4a438ce537a8f9a908cd50face3,100,96,3003,353,119
org.apache:archiva,4231711a4086108df13e49c06d6d249dca99e61b,11,7,3008,367,211
org.apache:archiva,ce3d47689a369394b000e0af7e4e0d7579f37eb3,21,8,3028,273,212
org.apache:archiva,158fea721bd8e57fde4dbc16aa3d1d9703f01d24,34,76,3084,266,193
org.apache:archiva,af7ab9cdbb50a3fdc4bea4a77a8c2d4d19a899c7,37,20,3096,273,267
org.apache:archiva,c82a0e6bc1c0d9c54f6147bf06a8d831c9eaa92e,35,24,3156,203,207
org.apache:archiva,7f610bca7543973171dfef2de5bf1f965bf55526,68,85,3158,138,135
org.apache:archiva,3f96b9c2b6dd6dd0fb3cc81234ad4f435a1aee8a,0,0,3223,195,213
org.apache:archiva,ac7babe5a1d3e5cf1798dd3c1948811759e0e924,366,12,3376,174,205
org.apache:archiva,40001e82b165e97abdaafd44537431e36a9eb93f,21,18,3408,506,141
org.apache:archiva,e1fa1896d8934a3832f32618040e5d8c4b0d118b,35,35,3458,490,139
org.apache:archiva,d12d5d853a52a7ff3a96523394a7e1aceaf54395,121,36,3578,490,150
org.apache:archiva,0f94c8a025df07d3ce2bce26ea8f2e33aa986218,3,8,3613,543,101
org.apache:archiva,43b763f95a9d76aa307439657b23c052a155ad18,1,1,3905,546,109
org.apache:archiva,e5de45d6b3ec7de0879dbaf7e9d3052ed9a7c698,68,21,4098,181,98
org.apache:archiva,f0a3cbb41647ff35207f4b47c9b77a2f0382ca27,116,105,4107,228,101
org.apache:archiva,795337f573479a353bf732287ce784672ffa7fd9,74,11,4158,309,171
org.apache:archiva,4b1640627662b1f26b9cb26ac009d84ef13772fa,12,4,4169,262,146
org.apache:archiva,e68187283844d45f9985649b73015e7608a6a75c,5,5,4190,271,142
org.apache:archiva,d5461dcc538f604cfd1c7b7ed0b74181932f96e0,18,3,4349,275,146
org.apache:archiva,13e64dfc3dfcae4bb81b9ef3a3f3bb98bddb86db,86,27,4752,225,128
org.apache:archiva,94ca53dece8988f44e0193de6604c1ccf9a0b971,148,36,4808,195,50
org.apache:archiva,8d21f6e627b25d5828843bb4fc9e360625c54280,3,2,4830,269,75
org.apache:archiva,c8610ec35db01abd58b2b1e77898a9d4cd292636,53,92,5236,260,73
org.apache:archiva,913039e58f6a0724fb77b8db8f0bb362c44c4b1b,48,12,5517,308,160
org.apache:archiva,d41af9e700746be9e642f16c8ee7f7fd8e73a1cd,79,26,5700,338,169
org.apache:archiva,96c99628aab4b63d71e660b661120596868a7f25,8,3,5898,331,168
org.apache:archiva,06fa65523c4762ab74890613fe584ce4a88ed87e,40,27,5949,191,135
org.apache:archiva,ca5684b38f6ad96508bd2a4fea7ef8a2bd4e2b5f,30,18,6078,228,160
org.apache:archiva,423f26e7564f3e2c0a28626311d53eb38fa2f6ff,67,20,6145,205,86
org.apache:archiva,64cb5e1beef76e33d81b4a40314df9df72b90646,131,53,6177,224,94
org.apache:archiva,a15932eb45a38b894dcc3ab488a24369b86a49eb,46,58,6206,276,121
org.apache:archiva,a72aeb4d5eaf3d86b23aeb44a2222563b52d09db,48,10,6218,314,176
org.apache:archiva,ed717a4b5bf19c91539191115d5e81918ca62995,82,12,6366,322,159
org.apache:archiva,6e782b161c11c1c02a7fb402b018ad26d57f9587,24,14,6372,374,153
org.apache:archiva,5292d7bf75d1aa08ce908f5618f207f54998c5b4,444,8,6966,331,147
org.apache:archiva,78348b12ef155d52a90ca4f55df7239eeb4a3eed,0,0,7090,644,102
org.apache:archiva,8015b813c29244a22e0795cc5b03c7405ea39039,91,4,7128,598,44
org.apache:archiva,6f2d5bad731ccbe5c8d01e67d58c016a08970014,5,9,7164,641,38
org.apache:archiva,e6ce81d425e454f082ff37c547503c07233ab68e,13,5,7180,564,35
org.apache:archiva,edbc1f1ebdaa4cf1fb4fbe31b339acd2761aa3c0,47,7,7212,553,26
org.apache:archiva,25dd5b9a3e301864d592698ec861e22114f6749e,2,2,7216,156,25
org.apache:archiva,bfa85f543bef0fe190a4f01d54f1bee7f9964251,2,2,7230,158,27
org.apache:archiva,15ce0477fe916b20faaf7d183dc1ce41092f64d5,100,10,7260,69,25
org.apache:archiva,4060f790733baaa56337d7f8e23b1e16279a28a4,59,84,7342,164,26
org.apache:archiva,76ddd65c91e23b9e5b216fa78f888b0ff9c85bf5,171,99,7434,210,105
org.apache:archiva,039b587b7ec8aa2ab1fa24e3e184e6bf3a2ec130,4,3,7456,334,197
org.apache:archiva,f40410bae72aae4a7eabb9e5e225048f2179438b,75,27,7584,336,198
org.apache:archiva,3985b652f58d0e73e71756263236cde5f470dd7a,159,58,7672,409,223
org.apache:archiva,0aedd14607878bfcd53fec9a38ae41432d94ea9e,29,3,7746,468,271
org.apache:archiva,ce50b0d6e3cf14395bfc3e4749fe3fc7b03cab75,54,12,7752,438,190
org.apache:archiva,936fe55580751c139f7cf318c12adc53da63ea7e,405,31,7959,321,103
org.apache:archiva,3332f36a12526d3d9ab0f9392ea5c420f6618e2d,112,67,8216,722,131
